Assembly,Type,Part,Quantity,Source,Unit Price,Total Price,Alt Source,Note
dock,print,toolhead-dock-base.STL,1,,,,,
dock,print,toolhead-dock-plate.STL,1,,,,,
dock,print,toolhead-dock-bracket.STL,1,,,,,
dock,print,toolhead-dock-brush-holder.STL,1,,,,,
dock,print,Toolhead-dock-nozzle-pad-clip.STL,1,,,,,
dock,buy,Silicone Nozzle Brush (Bambu Lab A1 Mini size cut in half),1,https://s.click.aliexpress.com/e/_c2wvhLBd,0.15,0.15,https://amzn.to/4zvQkCc,"Same brush type as Nozzle Brush Mount, cut in half; $2.96 per 10pcs, enough for the whole build + extras"
dock,buy,16mm M5 Button Head Cap Screw,4,,,,,Covered by overall misc hardware estimate see main README
dock,buy,10mm M5 Button Head Cap Screw,1,,,,,Covered by overall misc hardware estimate see main README
dock,buy,14mm M3 Button Head Cap Screw,2,,,,,Covered by overall misc hardware estimate see main README
dock,buy,M5 Heatset Insert 7mm D x 5mm L,4,,,,,Covered by overall misc hardware estimate see main README
dock,buy,8mm M3 Button Head Cap Screw,2,,,,,Covered by overall misc hardware estimate see main README
dock,buy,M3 Heatset Insert 5mm D x 4mm L,2,,,,,Covered by overall misc hardware estimate see main README
nozzle-brush-mount,print,nozzle-brush-mount-base.STL,1,,,,,
nozzle-brush-mount,print,nozzle-brush-mount-top.STL,1,,,,,
nozzle-brush-mount,buy,Silicone Nozzle Brush (for Bambu Lab A1/A1 MINI),1,,,,,Covered by overall misc hardware estimate see main README
nozzle-brush-mount,buy,20mm M3 Socket Head Cap Screw,1,,,,,Covered by overall misc hardware estimate see main README
nozzle-brush-mount,buy,M3 2020 Roll Nut,1,,,,,Covered by overall misc hardware estimate see main README
nozzle-brush-mount,reference,Sexball Probe Assembly,1,https://github.com/DraftShift/StealthChanger/wiki/Bill-of-Materials#sexball-probe,,,,Upstream project - see project for parts and sourcing
nozzle-brush-mount,buy,Mellow Hartk Sexbolt Z Limit Endstop,1,https://s.click.aliexpress.com/e/_c2vVlF4R,10.9,10.9,https://amzn.to/4bZMur3,Sexball probe part
nozzle-brush-mount,buy,M5 30mm Stainless Steel Outside Thread Solid Dowel Pin,5,https://s.click.aliexpress.com/e/_c3g0o8ox,0.63,3.14,https://amzn.to/4zzrLEI,Sexball probe part; pack of 5
nozzle-brush-mount,buy,12.7 or 12mm D M5 Stainless Steel Drilling Balls Female Thread,1,https://s.click.aliexpress.com/e/_c2wXXZR9,6.64,6.64,https://amzn.to/46cNQv5,Sexball probe part
spool-holder,print,spool-holder-roller-end.STL,2,,,,,
spool-holder,print,spool-holder-roller-divider.STL,5,,,,,
